phase_key,phase_name,start_wall_utc,elapsed_s,was_cached
01_reservoir,Phase 1: Building reservoir,2026-04-27T17:18:30.235467Z,0.345,False
02_workloads,Phase 2: Preparing workloads,2026-04-27T17:18:30.580682Z,0.929,False
03_baseline,Phase 3: Baseline evaluation,2026-04-27T17:18:31.510126Z,19.059,False
04_checkpoints,Phase 4: Checkpoint optimization,2026-04-27T17:18:50.568789Z,245.912,False
05_autoscaling_param_sweep,Phase 5: Autoscaler param sweep,2026-04-27T17:22:56.481209Z,276.160,False
06_routing_param_sweep,Phase 6: Routing param sweep,2026-04-27T17:27:32.641777Z,54.782,False
07_final,Phase 7: Persist & compare final,2026-04-27T17:28:27.424183Z,0.034,False
08_target,Phase 8: Target evaluation,2026-04-27T17:28:27.458716Z,21.954,False
TOTAL,TOTAL,2026-04-27T17:18:30.235467Z,619.177,False
