dataset,num_samples,num_rows_total,seq_len_mean,seq_len_p95,seq_len_max,pinch_point_mean,pinch_point_p95,y_mean,y_p95,lower_bound_fraction
train,6359,267785,42.111181003302406,192.09999999999945,296.0,20.555590501651203,105.0,3.5463036402212813,8.125099468231202,0.03459663469098915
run_1780875805584,1392,15128,10.867816091954023,26.0,34.0,4.933908045977011,16.0,3.374693365746029,7.297287774085999,0.0
