num_arrivals,arrival_span_s,arrival_rate_qps,interarrival_mean_s,interarrival_median_s,interarrival_p95_s,interarrival_cv,completion_success_rate,submitted_effective_concurrency_mean,submitted_effective_concurrency_p95,submitted_effective_concurrency_max,submitted_concurrency_at_arrival_median,submitted_concurrency_at_arrival_p95,executing_concurrency_mean,executing_concurrency_p95,executing_concurrency_max,spike_peak_in_1s,spike_p95_in_1s,spike_peak_to_p95_ratio_in_1s,spike_peak_in_5s,spike_p95_in_5s,spike_peak_to_p95_ratio_in_5s,spike_peak_in_10s,spike_p95_in_10s,spike_peak_to_p95_ratio_in_10s,spike_peak_in_30s,spike_p95_in_30s,spike_peak_to_p95_ratio_in_30s,run_id
132.0,1212.6861782073975,0.10884926568151661,9.257146398529752,6.625756025314331,27.46160852909088,0.9241256870435546,0.9696969696969697,54.26919105190108,107.0,108.0,47.5,101.44999999999999,54.26739870318461,107.0,108.0,2.0,1.0,2.0,3.0,2.0,1.5,4.0,3.0,1.3333333333333333,7.0,6.049999999999997,1.1570247933884303,1778822197626
132.0,1212.6806128025055,0.10884976522791763,9.257103914522943,6.621912956237793,27.475085973739624,0.9238159909085277,1.0,12.1665111886047,20.0,21.0,13.0,20.0,12.162626475743613,20.0,21.0,2.0,1.0,2.0,3.0,2.0,1.5,4.0,3.0,1.3333333333333333,7.0,6.049999999999997,1.1570247933884303,1778822203993
132.0,1212.6853799819946,0.10884933732932434,9.257140305206066,6.612674951553345,27.472126007080078,0.9241404796985361,1.0,1.4170403377184517,4.0,8.0,2.0,5.0,1.4157300220330387,4.0,8.0,2.0,1.0,2.0,3.0,2.0,1.5,4.0,3.0,1.3333333333333333,7.0,6.049999999999997,1.1570247933884303,1778821888613
132.0,1212.6787321567535,0.10884993403424954,9.2570895584485,6.607614994049072,27.472935914993286,0.9242548684240429,1.0,0.4289543742940764,2.0,4.0,1.0,2.4499999999999886,0.42790845497480645,2.0,4.0,2.0,1.0,2.0,3.0,2.0,1.5,4.0,3.0,1.3333333333333333,7.0,6.049999999999997,1.1570247933884303,1778822227786
132.0,2425.404007911682,0.05442392259987005,18.514534411539557,13.247530937194824,54.91843259334564,0.9239539923652103,0.9848484848484849,33.0160257262521,62.0,65.0,36.0,58.44999999999999,33.014264500047595,62.0,65.0,2.0,1.0,2.0,3.0,2.0,1.5,3.0,2.0,1.5,6.0,4.799999999999997,1.2500000000000007,1778827732917
132.0,2425.4049270153046,0.054423901976004795,18.514541427597745,13.254147052764893,54.92611384391785,0.9238418947691043,1.0,1.4641217410990164,4.0,8.0,2.0,6.0,1.4633445256081274,4.0,8.0,2.0,1.0,2.0,3.0,2.0,1.5,3.0,2.0,1.5,6.0,4.799999999999997,1.2500000000000007,1778824254808
132.0,2425.401365995407,0.05442398188220117,18.51451424423975,13.220727920532227,54.95116901397705,0.9242250570309726,1.0,0.5193866505656476,2.0,5.0,1.0,3.0,0.5188879377732462,2.0,5.0,2.0,1.0,2.0,3.0,2.0,1.5,3.0,2.0,1.5,6.0,4.799999999999997,1.2500000000000007,1778823665762
132.0,2425.417351961136,0.05442362317283987,18.514636274512487,13.197764873504639,54.94508111476898,0.924167180274591,1.0,0.2190395175723886,1.0,4.0,1.0,2.0,0.2186373635051372,1.0,4.0,2.0,1.0,2.0,3.0,2.0,1.5,3.0,2.0,1.5,6.0,4.799999999999997,1.2500000000000007,1778824038818
198.0,2018.993362903595,0.09806867305162821,10.248697273622309,6.925339937210083,29.40580081939697,0.9569242592151683,0.9343434343434344,67.09232506655371,119.0,123.0,68.5,119.14999999999998,67.08763183396468,119.0,123.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,1.3333333333333333,9.0,5.849999999999994,1.5384615384615399,1778833176612
198.0,2018.9688580036163,0.09806986334389778,10.248572883267087,6.929521083831787,29.40599451065063,0.956655484855817,1.0,16.376265194889534,35.0,37.0,18.0,34.14999999999998,16.372203286214766,35.0,37.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,1.3333333333333333,9.0,5.849999999999994,1.5384615384615399,1778827275022
198.0,2018.9686560630798,0.09806987315300539,10.248571858188223,6.927518844604492,29.418741941452023,0.9570753759766769,1.0,1.0687257068122007,3.0,6.0,2.0,4.0,1.067615660747837,3.0,6.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,1.3333333333333333,9.0,5.849999999999994,1.5384615384615399,1778826668997
198.0,2018.9687869548798,0.09806986679503576,10.248572522613603,6.9288270473480225,29.425091171264643,0.957135672037708,1.0,0.35745360464418513,2.0,4.0,1.0,2.1499999999999773,0.35666228646837644,2.0,4.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,1.3333333333333333,9.0,5.849999999999994,1.5384615384615399,1778827099259
198.0,4037.9671540260315,0.04903457419226039,20.497295198101682,13.850990056991577,58.83593144416808,0.9567225139864937,0.9747474747474747,29.137027366396456,50.0,57.0,29.0,50.14999999999998,29.134504600391722,50.0,57.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,5.0,3.0,1.6666666666666667,1778839357246
198.0,4037.9813928604126,0.04903440128527719,20.497367476448794,13.855019092559814,58.812482500076285,0.9568811872895951,0.9848484848484849,1.5980255692585739,5.0,8.0,2.0,5.0,1.5968025094632765,5.0,8.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,5.0,3.0,1.6666666666666667,1778830455527
198.0,4037.9773709774017,0.04903445012423971,20.497347060798994,13.861016035079956,58.84704999923705,0.9570825403925425,0.98989898989899,0.4700166833657254,2.0,5.0,1.0,3.0,0.46911582143266634,2.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,5.0,3.0,1.6666666666666667,1778829317324
198.0,4037.984652042389,0.0490343617080993,20.49738402051974,13.860076904296875,58.853875303268424,0.9572276578090543,1.0,0.19526668757306231,1.0,3.0,1.0,2.0,0.194903117991037,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,5.0,3.0,1.6666666666666667,1778829721533
198.0,2018.9690680503845,0.09806985314103822,10.248573949494338,6.9302449226379395,29.41687440872192,0.9572117585643827,0.7272727272727273,72.91048292168908,124.0,133.0,53.5,124.14999999999998,72.90589174776699,124.0,133.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,1.3333333333333333,9.0,5.849999999999994,1.5384615384615399,1778846572149
198.0,2018.9614169597626,0.0980702247882264,10.248535111470876,6.927995920181274,29.412799263000483,0.9569067153313195,0.98989898989899,34.677347601772254,83.0,90.0,32.5,85.0,34.67332912876615,83.0,90.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,1.3333333333333333,9.0,5.849999999999994,1.5384615384615399,1778835128511
