scenario,label,slo_metric,holdout_initial_violation_rate,holdout_final_violation_rate,holdout_initial_violation_amount_s,holdout_final_violation_amount_s,holdout_initial_violation_relative_mean,holdout_final_violation_relative_mean,holdout_initial_cost,holdout_final_cost,baseline_train_violation_rate,final_train_violation_rate,baseline_train_violation_amount_s,final_train_violation_amount_s,baseline_train_violation_relative_mean,final_train_violation_relative_mean,baseline_train_cost,final_train_cost,baseline_val_violation_rate,final_val_violation_rate,baseline_val_violation_amount_s,final_val_violation_amount_s,baseline_val_violation_relative_mean,final_val_violation_relative_mean,baseline_val_cost,final_val_cost,num_checkpoints,checkpoint_details
may_24,May 24,binary,0.07292370020256583,0.0587440918298447,0.9339269129359121,1.596414767988946,0.3015502200435725,0.21017254967578652,14.598750000000003,10.772916666666667,0.011014948859166011,0.022029897718332022,0.11966197363523082,0.09290537955485555,0.011089220558721719,0.02266581178199872,20.541875,16.026979166666667,0.01662077104642014,0.02675059008654603,0.4680086963162199,0.26761034997047134,0.014705610728753548,0.032176607218832906,20.25932291666667,16.116145833333334,0,
may_25,May 25,binary,0.040421792618629174,0.0421792618629174,0.323182717617307,0.3081017872726893,0.1253455288388591,0.13219718842226638,14.278333333333336,11.765,0.012674271229404309,0.019011406844106463,0.07538729710348287,0.12070754002826513,0.010186870278637156,0.026377195252331873,21.60354166666667,17.716458333333335,0.01273764258555133,0.01920152091254753,0.10294261604070032,0.12874245937910317,0.012876329696564439,0.026206332531920336,21.60244791666667,17.553958333333334,0,
may_26,May 26,binary,0.0703883495145631,0.07200647249190939,0.9894731074598168,0.9474708833205598,0.1847420464149682,0.19112143869716092,13.49791666666667,14.367500000000003,0.016554702495201534,0.029430582213691617,0.21913794980774026,0.1709051271505121,0.015600309349244718,0.04297927386327445,19.460520833333334,14.02701388888889,0.014995201535508637,0.029750479846449136,0.08176164235461719,0.27744546425277816,0.012021505271505126,0.0486800177904879,19.918125,15.62322916666667,0,
may_27,May 27,binary,0.0639367816091954,0.05818965517241379,0.6071044016379388,0.40044835079988245,0.17952596096685797,0.17177110291152647,16.563333333333333,14.17791666666667,0.016598079561042523,0.01721536351165981,0.25199233761526946,0.10627965999909772,0.01316284973007334,0.01625691744787743,19.46204861111111,16.072986111111113,0.014814814814814815,0.01779835390946502,0.24789611147401097,0.18820016997909803,0.013984218433122045,0.025368142920746968,19.8734375,16.2884375,1,"[{""rel_time_s"": 6390.825449450916, ""min_rpus"": [8, 16]}]"
