R,W,rep,time_s
1,1,0,0.008914582431316376
1,1,1,0.005779970437288284
1,1,2,0.00566815584897995
1,1,3,0.0057905688881874084
1,1,4,0.00564827024936676
1,1,5,0.005645759403705597
1,1,6,0.005616571754217148
1,1,7,0.005660731345415115
1,1,8,0.005646493285894394
1,1,9,0.005617324262857437
1,2,0,0.012929882854223251
1,2,1,0.011190254241228104
1,2,2,0.011271245777606964
1,2,3,0.011189460754394531
1,2,4,0.011219218373298645
1,2,5,0.01115259900689125
1,2,6,0.0111626498401165
1,2,7,0.011198244988918304
1,2,8,0.01119282841682434
1,2,9,0.011280965059995651
1,4,0,0.022385627031326294
1,4,1,0.02236209437251091
1,4,2,0.022446617484092712
1,4,3,0.022276371717453003
1,4,4,0.022258806973695755
1,4,5,0.02223099395632744
1,4,6,0.02333749830722809
1,4,7,0.022200219333171844
1,4,8,0.02224024012684822
1,4,9,0.022207673639059067
1,8,0,0.0478520393371582
1,8,1,0.04387805238366127
1,8,2,0.043919727206230164
1,8,3,0.044878534972667694
1,8,4,0.04402390494942665
1,8,5,0.04416724294424057
1,8,6,0.04403363913297653
1,8,7,0.044200606644153595
1,8,8,0.04399757832288742
1,8,9,0.043970946222543716
1,16,0,0.09298015385866165
1,16,1,0.0835895985364914
1,16,2,0.08329270035028458
1,16,3,0.08350124210119247
1,16,4,0.08358406275510788
1,16,5,0.08337504789233208
1,16,6,0.08377225697040558
1,16,7,0.08368179202079773
1,16,8,0.08352483808994293
1,16,9,0.0835830494761467
1,32,0,0.17222199216485023
1,32,1,0.1600414775311947
1,32,2,0.15981093794107437
1,32,3,0.16022096946835518
1,32,4,0.16280078142881393
1,32,5,0.16124959662556648
1,32,6,0.16161370649933815
1,32,7,0.16162604466080666
1,32,8,0.16201305016875267
1,32,9,0.16226225718855858
2,1,0,0.005701344460248947
2,1,1,0.00577942281961441
2,1,2,0.005853146314620972
2,1,3,0.005711488425731659
2,1,4,0.005865853279829025
2,1,5,0.005741290748119354
2,1,6,0.00576433539390564
2,1,7,0.0059158653020858765
2,1,8,0.005750361829996109
2,1,9,0.005732327699661255
