phase_key,phase_name,start_wall_utc,elapsed_s,was_cached
01_reservoir,Phase 1: Building reservoir,2026-04-22T08:05:04.588688Z,0.373,False
02_workloads,Phase 2: Preparing workloads,2026-04-22T08:05:04.961691Z,7.363,False
03_baseline,Phase 3: Baseline evaluation,2026-04-22T08:05:12.324782Z,15.841,False
04_checkpoints,Phase 4: Checkpoint optimization,2026-04-22T08:05:28.165702Z,152.972,False
05_autoscaling_param_sweep,Phase 5: Autoscaler param sweep,2026-04-22T08:08:01.137817Z,164.519,False
06_routing_param_sweep,Phase 6: Routing param sweep,2026-04-22T08:10:45.656910Z,22.324,False
07_final,Phase 7: Persist & compare final,2026-04-22T08:11:07.980935Z,0.038,False
08_target,Phase 8: Target evaluation,2026-04-22T08:11:08.018883Z,21.344,False
TOTAL,TOTAL,2026-04-22T08:05:04.588688Z,384.774,False
