,true_latency_s
cluster_8_6298308#491c7e86-d8ae-4ee0-930c-3579141a0614,97.66964240156794
cluster_8_6298314#491c7e86-d8ae-4ee0-930c-3579141a0614,1456.7485252304189
cluster_8_6298319#491c7e86-d8ae-4ee0-930c-3579141a0614,766.4860388319067
cluster_8_6298324#491c7e86-d8ae-4ee0-930c-3579141a0614,72.39214388450614
cluster_8_6298329#491c7e86-d8ae-4ee0-930c-3579141a0614,1724.894503264586
cluster_8_6298334#491c7e86-d8ae-4ee0-930c-3579141a0614,1371.2583925578224
cluster_8_6298339#491c7e86-d8ae-4ee0-930c-3579141a0614,179.32431590612418
cluster_8_6298345#491c7e86-d8ae-4ee0-930c-3579141a0614,930.8092835708917
cluster_8_6298350#491c7e86-d8ae-4ee0-930c-3579141a0614,1376.0059984037218
cluster_8_6298355#491c7e86-d8ae-4ee0-930c-3579141a0614,1521.2013267977559
cluster_8_6298360#491c7e86-d8ae-4ee0-930c-3579141a0614,13.742421309799173
cluster_8_6298365#491c7e86-d8ae-4ee0-930c-3579141a0614,70.66829594791965
cluster_8_6298370#491c7e86-d8ae-4ee0-930c-3579141a0614,1111.2249168839787
cluster_8_6298375#491c7e86-d8ae-4ee0-930c-3579141a0614,7.906494156415631
cluster_8_6298383#491c7e86-d8ae-4ee0-930c-3579141a0614,1703.248184458825
cluster_8_6298394#491c7e86-d8ae-4ee0-930c-3579141a0614,544.1373538871209
cluster_8_6298410#491c7e86-d8ae-4ee0-930c-3579141a0614,684.3666541570512
cluster_8_6298433#491c7e86-d8ae-4ee0-930c-3579141a0614,2190.0628171764374
cluster_8_6298448#491c7e86-d8ae-4ee0-930c-3579141a0614,1837.057727560622
cluster_8_6298465#491c7e86-d8ae-4ee0-930c-3579141a0614,205.0661023293472
cluster_8_6298478#491c7e86-d8ae-4ee0-930c-3579141a0614,28.380201403606396
cluster_8_6298492#491c7e86-d8ae-4ee0-930c-3579141a0614,22.950841432378844
cluster_8_6298504#491c7e86-d8ae-4ee0-930c-3579141a0614,103.1780024309675
cluster_8_6298523#491c7e86-d8ae-4ee0-930c-3579141a0614,2.511161849038713
cluster_8_6298542#491c7e86-d8ae-4ee0-930c-3579141a0614,1832.0617289583408
cluster_8_6298551#491c7e86-d8ae-4ee0-930c-3579141a0614,3600.0098972638184
cluster_8_6298569#491c7e86-d8ae-4ee0-930c-3579141a0614,2013.3806062256338
cluster_8_6298581#491c7e86-d8ae-4ee0-930c-3579141a0614,122.40447285772507
cluster_8_6298593#491c7e86-d8ae-4ee0-930c-3579141a0614,1871.5280029106143
cluster_8_6298608#491c7e86-d8ae-4ee0-930c-3579141a0614,77.8336243699498
cluster_8_6298622#491c7e86-d8ae-4ee0-930c-3579141a0614,214.53157818699594
cluster_8_6298636#491c7e86-d8ae-4ee0-930c-3579141a0614,71.89388858912861
cluster_8_6298653#491c7e86-d8ae-4ee0-930c-3579141a0614,47.430674828878374
cluster_8_6298662#491c7e86-d8ae-4ee0-930c-3579141a0614,105.68849127833475
cluster_8_6298673#491c7e86-d8ae-4ee0-930c-3579141a0614,115.69586144173327
cluster_8_6298680#491c7e86-d8ae-4ee0-930c-3579141a0614,2677.353950886361
cluster_8_6298693#491c7e86-d8ae-4ee0-930c-3579141a0614,1970.87380577473
cluster_8_6298710#491c7e86-d8ae-4ee0-930c-3579141a0614,2776.182118537443
cluster_8_6298720#491c7e86-d8ae-4ee0-930c-3579141a0614,88.6837622722275
cluster_8_6298726#491c7e86-d8ae-4ee0-930c-3579141a0614,2976.1793760347527
cluster_8_6298748#491c7e86-d8ae-4ee0-930c-3579141a0614,72.84044270895576
cluster_8_6298764#491c7e86-d8ae-4ee0-930c-3579141a0614,2305.838543541507
cluster_8_6298783#491c7e86-d8ae-4ee0-930c-3579141a0614,2333.5038791132806
cluster_8_6298799#491c7e86-d8ae-4ee0-930c-3579141a0614,2924.1165118389717
cluster_8_6298817#491c7e86-d8ae-4ee0-930c-3579141a0614,2299.841526801424
cluster_8_6298829#491c7e86-d8ae-4ee0-930c-3579141a0614,3600.0098972638184
cluster_8_6298841#491c7e86-d8ae-4ee0-930c-3579141a0614,80.78651191677983
cluster_8_6298860#491c7e86-d8ae-4ee0-930c-3579141a0614,211.17651308561005
