,true_latency_s
cluster_8_4673733#35980a77-2b55-4ce4-975a-cf630e365789,17.465663768272975
cluster_8_4673740#35980a77-2b55-4ce4-975a-cf630e365789,31.523774472136203
cluster_8_4673745#35980a77-2b55-4ce4-975a-cf630e365789,304.29512238353243
cluster_8_4673750#35980a77-2b55-4ce4-975a-cf630e365789,41.485568159883464
cluster_8_4673755#35980a77-2b55-4ce4-975a-cf630e365789,1256.6955293559897
cluster_8_4673768#35980a77-2b55-4ce4-975a-cf630e365789,177.46263003349443
cluster_8_4673773#35980a77-2b55-4ce4-975a-cf630e365789,9.872660892538892
cluster_8_4673780#35980a77-2b55-4ce4-975a-cf630e365789,133.59834272768705
cluster_8_4673787#35980a77-2b55-4ce4-975a-cf630e365789,42.94659270152058
cluster_8_4673794#35980a77-2b55-4ce4-975a-cf630e365789,106.31715536409791
cluster_8_4673801#35980a77-2b55-4ce4-975a-cf630e365789,70.21360469783691
cluster_8_4673806#35980a77-2b55-4ce4-975a-cf630e365789,52.664171950771085
cluster_8_4673813#35980a77-2b55-4ce4-975a-cf630e365789,115.41283917795809
cluster_8_4673824#35980a77-2b55-4ce4-975a-cf630e365789,123.96865878088498
cluster_8_4673831#35980a77-2b55-4ce4-975a-cf630e365789,147.44727714435157
cluster_8_4673838#35980a77-2b55-4ce4-975a-cf630e365789,135.69573986525842
cluster_8_4673843#35980a77-2b55-4ce4-975a-cf630e365789,199.44507841882051
cluster_8_4673852#35980a77-2b55-4ce4-975a-cf630e365789,166.81209830585163
cluster_8_4673858#35980a77-2b55-4ce4-975a-cf630e365789,187.40536218990468
cluster_8_4673866#35980a77-2b55-4ce4-975a-cf630e365789,188.44339398769355
cluster_8_4673873#35980a77-2b55-4ce4-975a-cf630e365789,257.1005071354303
cluster_8_4673878#35980a77-2b55-4ce4-975a-cf630e365789,284.14349913368494
cluster_8_4673887#35980a77-2b55-4ce4-975a-cf630e365789,207.56290218617804
cluster_8_4673894#35980a77-2b55-4ce4-975a-cf630e365789,440.2075930343057
cluster_8_4673901#35980a77-2b55-4ce4-975a-cf630e365789,262.82386392452224
cluster_8_4673910#35980a77-2b55-4ce4-975a-cf630e365789,284.5546024642243
cluster_8_4673920#35980a77-2b55-4ce4-975a-cf630e365789,360.28922103855473
cluster_8_4673934#35980a77-2b55-4ce4-975a-cf630e365789,269.46355860966986
cluster_8_4673939#35980a77-2b55-4ce4-975a-cf630e365789,303.2666598463442
cluster_8_4673952#35980a77-2b55-4ce4-975a-cf630e365789,56.66064120750006
cluster_8_4673959#35980a77-2b55-4ce4-975a-cf630e365789,288.5889333757381
cluster_8_4673966#35980a77-2b55-4ce4-975a-cf630e365789,6.289358519109693
cluster_8_4673969#35980a77-2b55-4ce4-975a-cf630e365789,9.668511875884489
cluster_8_4673972#35980a77-2b55-4ce4-975a-cf630e365789,2.7003200271784125
cluster_8_4673981#35980a77-2b55-4ce4-975a-cf630e365789,18.446317895664443
cluster_8_4673995#35980a77-2b55-4ce4-975a-cf630e365789,897.7892395126754
cluster_8_4674006#35980a77-2b55-4ce4-975a-cf630e365789,35.71163858440724
cluster_8_4674014#35980a77-2b55-4ce4-975a-cf630e365789,8.888619727290202
cluster_8_4674022#35980a77-2b55-4ce4-975a-cf630e365789,7.089676706206187
cluster_8_4674029#35980a77-2b55-4ce4-975a-cf630e365789,5.026607278827141
cluster_8_4674042#35980a77-2b55-4ce4-975a-cf630e365789,6.677671698495424
cluster_8_4674048#35980a77-2b55-4ce4-975a-cf630e365789,30.51416359895223
cluster_8_4674059#35980a77-2b55-4ce4-975a-cf630e365789,40.202280053958006
cluster_8_4674069#35980a77-2b55-4ce4-975a-cf630e365789,17.687375444057167
cluster_8_4674079#35980a77-2b55-4ce4-975a-cf630e365789,11.521332043145097
cluster_8_4674082#35980a77-2b55-4ce4-975a-cf630e365789,778.001356437403
cluster_8_4674093#35980a77-2b55-4ce4-975a-cf630e365789,3.767396976994236
cluster_8_4674104#35980a77-2b55-4ce4-975a-cf630e365789,58.23880180605483
cluster_8_4674113#35980a77-2b55-4ce4-975a-cf630e365789,1132.1083690322782
