cluster_id,dist_to_157,median_weekly_queries,weekly_cv,dow_cv,hour_cv,latency_entropy,may27_num_queries,may27_active_hours,peak_5min_bin_count,concurrency_estimate
157,0.0,17067.0,0.2456505493176381,0.4463921342097423,0.7002265428855857,0.7356215248950836,2318,24,128.0,25.132993939393938
102,1.2494468858317216,4802.5,0.3741445592842728,0.1259145965358946,0.5328341210310761,0.8555133624544949,585,18,55.0,10.799333333333331
25,1.3279709081535078,1752.5,0.218752811685577,0.5524788610181656,0.5995060748757001,0.3887201585053266,902,18,60.0,11.781090909090908
184,1.4015572519909458,46007.5,0.3921218096131453,0.2128470629351946,0.0459091357808397,0.6825255463954613,9629,24,51.0,10.013927272727273
138,1.4104790809376486,4126.5,0.3021369226710317,0.0601021475214946,0.8463467369001942,0.6040817181193867,369,20,28.0,5.497842424242424
137,1.4241533289315884,35374.0,0.2270574472927465,0.0389096653120506,0.455753914346922,0.7185198520249597,5435,24,90.0,17.671636363636363
104,1.5086262828578714,5588.0,0.4836492169760802,0.048216606496766,0.7497226941538662,0.734958385672238,949,24,82.0,16.10082424242424
101,1.5615712822277874,9438.0,0.1837821134522465,0.0905098078703693,0.2564723461718083,0.92229577662366,1531,24,27.0,5.301490909090909
159,1.5935394035178596,2029.5,0.6767122582694822,0.686328601613169,0.9734621982139928,0.6538567255299138,187,12,14.0,2.748921212121212
108,1.5971460565771969,163.0,0.569068056020434,0.2173211369541838,1.328384599972088,0.7709481792212103,28,4,23.0,4.516084848484848
5,2.1201625460318327,401.5,0.2860808870100599,0.0287109290733353,1.4640596126631544,0.4638997714544304,58,2,27.0,5.301490909090909
58,2.157982441679389,930.0,0.2460040774432969,0.0197955881067021,1.6286830173000653,0.5756805028303047,131,3,25.0,4.908787878787878
