cluster_id,hour,total_queries,n_unique_templates,template_entropy
157,0,4,1,-0.0
157,1,7,1,-0.0
157,2,4,1,-0.0
157,3,7,2,0.11444513767941734
157,4,7,3,0.26669313251188764
157,5,4,1,-0.0
157,6,20,8,0.45667278476670675
157,7,13,1,-0.0
157,8,6,2,0.177622660637882
157,9,48,7,0.32771934258873736
157,10,75,7,0.28839618202613776
157,11,144,20,0.5764922290849245
157,12,205,17,0.5009169765831089
157,13,57,9,0.3499937086461172
157,14,93,14,0.42970450074150224
157,15,78,8,0.4206485919127389
157,16,215,15,0.47808274135979756
157,17,130,9,0.4580173875139175
157,18,80,16,0.5861431581738862
157,19,14,2,0.11444513767941734
157,20,106,12,0.5008183718530215
157,21,16,2,0.17331745282273522
157,22,45,8,0.37350519670009996
157,23,14,6,0.46011953612915846
184,0,127,7,0.5230210582192801
184,1,125,6,0.4032423688367441
184,2,125,6,0.2685753735976401
184,3,125,7,0.5141227758628776
184,4,125,7,0.5129065949823307
184,5,125,6,0.4018450526656463
184,6,125,6,0.5068998083323162
184,7,125,5,0.2546545061073739
184,8,125,6,0.5068998083323162
184,9,125,6,0.40184505266564635
184,10,125,5,0.24895305722790162
184,11,125,7,0.4188624973610979
184,12,125,7,0.5129956269942025
184,13,125,8,0.5260121466829154
184,14,125,7,0.5127314039724427
184,15,132,7,0.4434894574677701
184,16,125,6,0.4076355335569904
184,17,125,6,0.5068998083323162
184,18,127,8,0.4377208782663388
184,19,126,7,0.4159659478013895
184,20,148,9,0.6037827646022982
184,21,125,5,0.2908280325399676
184,22,125,7,0.5129065949823307
184,23,125,6,0.4037187105190547
137,0,13,2,0.6282340759682773
137,1,13,2,0.6282340759682773
137,2,13,2,0.5618376711211266
137,3,13,2,0.6282340759682773
137,4,13,2,0.6064727741416684
137,5,14,2,0.6309297535714574
137,6,13,2,0.5618376711211266
137,7,13,2,0.6064727741416684
137,8,13,2,0.6282340759682773
137,9,13,2,0.6064727741416684
137,10,13,2,0.5618376711211266
137,11,13,2,0.5618376711211266
137,12,13,2,0.6064727741416684
137,13,13,2,0.6282340759682773
137,14,13,2,0.6064727741416684
137,15,13,2,0.39078665545522084
137,16,13,2,0.6064727741416684
137,17,80,3,0.6719827096443061
137,18,44,2,0.6271632363697399
137,19,53,2,0.6229674347747004
137,20,96,2,0.5857312535611814
137,21,67,2,0.6226926491483494
137,22,13,2,0.6282340759682773
137,23,13,2,0.6064727741416684
101,0,1,1,-0.0
101,1,2,1,-0.0
101,2,0,0,
101,3,0,0,
101,4,0,0,
101,5,0,0,
101,6,0,0,
101,7,1,1,-0.0
101,8,2,1,-0.0
101,9,0,0,
101,10,0,0,
101,11,0,0,
101,12,1,1,-0.0
101,13,2,2,0.5
101,14,0,0,
101,15,0,0,
101,16,7,2,0.49261406801712576
101,17,13,3,0.7631174549747612
101,18,1,1,-0.0
101,19,4,3,0.75
101,20,5,2,0.36096404744368116
101,21,1,1,-0.0
101,22,4,1,-0.0
101,23,8,3,0.5306390622295665
159,0,0,0,
159,1,0,0,
159,2,0,0,
159,3,0,0,
159,4,6,2,0.23154265837250498
159,5,8,2,0.28898309867585964
159,6,7,4,0.5929060718765461
159,7,26,3,0.4227181377062827
159,8,12,2,0.3490362935417422
159,9,6,2,0.3271035759815648
159,10,5,2,0.2571559759740807
159,11,7,2,0.3509453429964406
159,12,4,2,0.28898309867585964
159,13,14,3,0.45845789501222106
159,14,0,0,
159,15,0,0,
159,16,0,0,
159,17,0,0,
159,18,0,0,
159,19,0,0,
159,20,2,2,0.3562071871080222
159,21,0,0,
159,22,0,0,
159,23,0,0,
