scenario,checkpoint_idx,time_s,min_rpus
1%,0,6418.299562034242,"[8, 32]"
1%,1,6418.299562034242,"[8, 16]"
5%,0,6390.825449450916,"[8, 16]"
10%,0,6345.309147941809,"[4, 8]"
