,query_id,query_text_id,run_id,cluster_name,rpu,num_other_concurrent_queries,y,y_pred_mean,abs_error,q_error,factor_error,underprediction_error_s,target_is_lower_bound,model_source,individual_loss
1697,query_80,ext_tpcds1000#024#003,1778861305520,autoslo-4-1778861305520-0,4,269,3697.305908203125,3919.7258,,,1.0601573,0.0,True,lstm,0.0
10497,query_4,ext_tpcds1000#078#002,1781489438980,autoslo-4-1781489438980-0,4,296,3683.7626953125,2171.547,,,0.5894916,1512.215576171875,True,lstm,0.52849483
6497,query_6,ext_tpcds1000#075#003,1781489438980,autoslo-4-1781489438980-0,4,296,3681.514892578125,1437.7887,,,0.3905427,2243.72607421875,True,lstm,0.940218
10368,query_10,ext_tpcds1000#044#003,1781489438980,autoslo-4-1781489438980-0,4,296,3679.21240234375,713.3516,,,0.19388704,2965.86083984375,True,lstm,1.6404796
7649,query_255,ext_tpcds1000#023#001,1781484238915,autoslo-4-1781484238915-0,4,277,3661.546142578125,8560.668,,,2.3379927,0.0,True,lstm,0.0
8640,query_28,ext_tpcds1000#009#003,1781478035304,autoslo-4-1781478035304-0,4,296,3652.314697265625,3082.1963,,,0.8439022,570.118408203125,True,lstm,0.16971874
2602,query_132,ext_tpcds1000#087#002,1778846572149,autoslo-4-1778846572149-0,4,138,3651.69482421875,3777.261,,,1.0343857,0.0,True,lstm,0.0
2343,query_161,ext_tpcds1000#009#002,1781478035304,autoslo-4-1781478035304-0,4,266,3650.68505859375,6336.608,,,1.7357312,0.0,True,lstm,0.0
8676,query_134,ext_tpcds1000#065#002,1778868881242,autoslo-4-1778868881242-0,4,218,3646.770263671875,4736.211,,,1.2987412,0.0,True,lstm,0.0
6470,query_80,ext_tpcds1000#016#001,1778846572149,autoslo-4-1778846572149-0,4,158,3638.8251953125,3640.1545,,,1.0003654,0.0,True,lstm,0.0
9540,query_241,ext_tpcds1000#087#003,1781478035304,autoslo-4-1781478035304-0,4,258,3637.5380859375,4831.2134,,,1.3281547,0.0,True,lstm,0.0
9797,query_77,ext_tpcds1000#097#001,1778846572149,autoslo-4-1778846572149-0,4,159,3635.973876953125,3230.9827,,,0.8886155,404.9912109375,True,lstm,0.11809063
421,query_243,ext_tpcds1000#038#002,1781478035304,autoslo-4-1781478035304-0,4,258,3631.4306640625,5558.8525,,,1.530761,0.0,True,lstm,0.0
8266,query_161,ext_tpcds1000#028#002,1778846572149,autoslo-4-1778846572149-0,4,137,3628.595458984375,5056.573,,,1.3935345,0.0,True,lstm,0.0
6720,query_23,ext_tpcds1000#069#003,1781489438980,autoslo-4-1781489438980-0,4,296,3628.194091796875,2156.3809,,,0.59433997,1471.813232421875,True,lstm,0.5203037
8929,query_273,ext_tpcds1000#025#003,1781478035304,autoslo-4-1781478035304-0,4,255,3628.031494140625,3620.355,,,0.9978841,7.676513671875,True,lstm,0.0021181107
9317,query_151,ext_tpcds1000#023#002,1778868881242,autoslo-4-1778868881242-0,4,205,3627.7373046875,7811.015,,,2.153137,0.0,True,lstm,0.0
2658,query_183,ext_tpcds1000#046#003,1781478035304,autoslo-4-1781478035304-0,4,264,3627.57470703125,2727.7568,,,0.75195056,899.81787109375,True,lstm,0.28508472
9025,query_201,ext_tpcds1000#008#003,1778861305520,autoslo-4-1778861305520-0,4,250,3627.152587890625,4234.6304,,,1.1674806,0.0,True,lstm,0.0
2081,query_271,ext_tpcds1000#028#001,1781484238915,autoslo-4-1781484238915-0,4,275,3624.300048828125,6332.4277,,,1.747214,0.0,True,lstm,0.0
7333,query_4,ext_tpcds1000#078#002,1778868881242,autoslo-4-1778868881242-0,4,164,3624.15478515625,3470.1985,,,0.9575194,153.956298828125,True,lstm,0.043409348
673,query_230,ext_tpcds1000#094#001,1778861305520,autoslo-4-1778861305520-0,4,245,3623.805908203125,4953.429,,,1.3669134,0.0,True,lstm,0.0
8898,query_215,ext_tpcds1000#089#002,1778861305520,autoslo-4-1778861305520-0,4,250,3623.80224609375,5477.9707,,,1.5116638,0.0,True,lstm,0.0
3936,query_27,ext_tpcds1000#047#002,1781489438980,autoslo-4-1781489438980-0,4,296,3621.736328125,1974.0931,,,0.54506814,1647.6431884765625,True,lstm,0.6068444
9638,query_140,ext_tpcds1000#072#001,1778868881242,autoslo-4-1778868881242-0,4,209,3616.976318359375,4518.143,,,1.2491492,0.0,True,lstm,0.0
8289,query_80,ext_tpcds1000#024#003,1781484238915,autoslo-4-1781484238915-0,4,290,3616.803955078125,4252.664,,,1.1758072,0.0,True,lstm,0.0
6400,query_34,ext_tpcds1000#065#001,1781489438980,autoslo-4-1781489438980-0,4,296,3616.67626953125,1416.5513,,,0.39167213,2200.125,True,lstm,0.93733025
3651,query_173,ext_tpcds1000#067#002,1781478035304,autoslo-4-1781478035304-0,4,264,3616.07958984375,4072.6685,,,1.1262662,0.0,True,lstm,0.0
2176,query_68,ext_tpcds1000#095#001,1781489438980,autoslo-4-1781489438980-0,4,291,3615.22802734375,3862.7156,,,1.068457,0.0,True,lstm,0.0
2312,query_227,ext_tpcds1000#072#001,1781522879274,autoslo-4-1781522879274-0,4,216,3612.560302734375,4401.631,,,1.2184242,0.0,True,lstm,0.0
4107,query_65,ext_tpcds1000#009#002,1778846572149,autoslo-4-1778846572149-0,4,169,3611.712890625,4037.296,,,1.1178341,0.0,True,lstm,0.0
4165,query_85,ext_tpcds1000#095#001,1778846572149,autoslo-4-1778846572149-0,4,157,3609.757080078125,3329.2593,,,0.92229456,280.497802734375,True,lstm,0.080890656
1282,query_85,ext_tpcds1000#028#002,1778861305520,autoslo-4-1778861305520-0,4,269,3609.71240234375,4023.1519,,,1.1145353,0.0,True,lstm,0.0
6914,query_64,ext_tpcds1000#028#003,1778861305520,autoslo-4-1778861305520-0,4,277,3609.075439453125,3840.2,,,1.0640398,0.0,True,lstm,0.0
9953,query_189,ext_tpcds1000#076#002,1781478035304,autoslo-4-1781478035304-0,4,264,3608.765869140625,4328.223,,,1.1993638,0.0,True,lstm,0.0
8709,query_119,ext_tpcds1000#079#001,1778868881242,autoslo-4-1778868881242-0,4,230,3608.572998046875,4311.867,,,1.1948954,0.0,True,lstm,0.0
3403,query_285,ext_tpcds1000#097#003,1781522879274,autoslo-4-1781522879274-0,4,175,3608.277099609375,4196.47,,,1.1630121,0.0,True,lstm,0.0
1225,query_279,ext_tpcds1000#064#001,1781504195418,autoslo-4-1781504195418-0,4,169,3608.204833984375,5027.832,,,1.3934442,0.0,True,lstm,0.0
4353,query_218,ext_tpcds1000#078#003,1781489438980,autoslo-4-1781489438980-0,4,289,3607.984619140625,9924.982,,,2.7508383,0.0,True,lstm,0.0
5994,query_133,ext_tpcds1000#030#002,1778846572149,autoslo-4-1778846572149-0,4,138,3607.33447265625,3452.8408,,,0.95717233,154.49365234375,True,lstm,0.043771744
5579,query_144,ext_tpcds1000#063#001,1778846572149,autoslo-4-1778846572149-0,4,137,3607.000732421875,3061.0027,,,0.8486282,545.998046875,True,lstm,0.16413403
2784,query_196,ext_tpcds1000#061#002,1781489438980,autoslo-4-1781489438980-0,4,289,3606.9111328125,4502.044,,,1.2481716,0.0,True,lstm,0.0
9895,query_279,ext_tpcds1000#064#001,1781522879274,autoslo-4-1781522879274-0,4,190,3606.859619140625,5115.2173,,,1.4181914,0.0,True,lstm,0.0
2023,query_288,ext_tpcds1000#005#002,1781478035304,autoslo-4-1781478035304-0,4,254,3606.839111328125,4372.545,,,1.2122928,0.0,True,lstm,0.0
10345,query_260,ext_tpcds1000#072#003,1781513174670,autoslo-4-1781513174670-0,4,140,3606.83544921875,3905.2078,,,1.0827241,0.0,True,lstm,0.0
4169,query_2,ext_tpcds1000#004#001,1778827732917,autoslo-4-1778827732917-0,4,130,3606.759765625,2889.0176,,,0.80100083,717.7421875,True,lstm,0.22189331
7942,query_246,ext_tpcds1000#076#003,1781513174670,autoslo-4-1781513174670-0,4,151,3606.629150390625,3379.9463,,,0.9371483,226.682861328125,True,lstm,0.06491375
8844,query_269,ext_tpcds1000#093#001,1781494395969,autoslo-4-1781494395969-0,4,135,3606.587890625,3431.4412,,,0.951437,175.146728515625,True,lstm,0.0497818
10272,query_186,ext_tpcds1000#043#001,1781489438980,autoslo-4-1781489438980-0,4,289,3606.587890625,4495.038,,,1.2463409,0.0,True,lstm,0.0
481,query_4,ext_tpcds1000#078#002,1778861305520,autoslo-4-1778861305520-0,4,295,3606.295654296875,3856.3994,,,1.069352,0.0,True,lstm,0.0
2694,query_158,ext_tpcds1000#064#001,1781504195418,autoslo-4-1781504195418-0,4,228,3606.144287109375,5597.4897,,,1.552209,0.0,True,lstm,0.0
2433,query_267,ext_tpcds1000#043#003,1781489438980,autoslo-4-1781489438980-0,4,287,3605.9482421875,4690.609,,,1.3007976,0.0,True,lstm,0.0
8164,query_210,ext_tpcds1000#088#002,1778868881242,autoslo-4-1778868881242-0,4,174,3605.927490234375,3544.5999,,,0.98299253,61.32763671875,True,lstm,0.01715374
7298,query_101,ext_tpcds1000#078#003,1781513174670,autoslo-4-1781513174670-0,4,243,3605.487548828125,6363.854,,,1.7650467,0.0,True,lstm,0.0
4805,query_135,ext_tpcds1000#004#002,1778868881242,autoslo-4-1778868881242-0,4,217,3605.415283203125,4151.9688,,,1.1515924,0.0,True,lstm,0.0
2822,query_173,ext_tpcds1000#067#002,1778861305520,autoslo-4-1778861305520-0,4,250,3605.332763671875,4515.5195,,,1.2524557,0.0,True,lstm,0.0
5696,query_230,ext_tpcds1000#094#001,1781488939845,autoslo-8-1781488939845-0,8,280,3605.329345703125,4936.678,,,1.3692725,0.0,True,lstm,0.0
740,query_232,ext_tpcds1000#094#003,1781483786331,autoslo-8-1781483786331-0,8,267,3605.006103515625,4310.272,,,1.1956351,0.0,True,lstm,0.0
32,query_97,ext_tpcds1000#023#003,1778861305520,autoslo-4-1778861305520-0,4,266,3604.7998046875,5887.989,,,1.6333747,0.0,True,lstm,0.0
5763,query_176,ext_tpcds1000#099#002,1781478035304,autoslo-4-1781478035304-0,4,264,3604.720703125,3871.323,,,1.0739592,0.0,True,lstm,0.0
4678,query_178,ext_tpcds1000#025#003,1781504195418,autoslo-4-1781504195418-0,4,228,3604.71044921875,4079.6812,,,1.1317639,0.0,True,lstm,0.0
6217,query_267,ext_tpcds1000#005#002,1781494395969,autoslo-4-1781494395969-0,4,135,3604.69677734375,3683.046,,,1.0217353,0.0,True,lstm,0.0
10407,query_235,ext_tpcds1000#028#003,1781513174670,autoslo-4-1781513174670-0,4,155,3604.497314453125,4031.913,,,1.1185784,0.0,True,lstm,0.0
961,query_97,ext_tpcds1000#023#003,1781478035304,autoslo-4-1781478035304-0,4,278,3604.45947265625,6174.8037,,,1.7131011,0.0,True,lstm,0.0
352,query_135,ext_tpcds1000#004#002,1781484238915,autoslo-4-1781484238915-0,4,289,3604.397705078125,4491.0747,,,1.2459986,0.0,True,lstm,0.0
