scenario,label,reservoir_arrivals,holdout_queries,holdout_baseline_violation,holdout_tuned_violation,holdout_baseline_cost,holdout_tuned_cost,holdout_baseline_violation_rate,holdout_tuned_violation_rate,holdout_baseline_violation_amount_s,holdout_tuned_violation_amount_s,holdout_baseline_violation_relative_mean,holdout_tuned_violation_relative_mean,holdout_slo_metric,final_train_violation,final_val_violation,final_train_cost,final_val_cost,final_train_violation_rate,final_val_violation_rate,final_train_violation_amount_s,final_val_violation_amount_s,final_train_violation_relative_mean,final_val_violation_relative_mean,num_checkpoints,checkpoint_details,tuned_capacity_poll_interval_s,tuned_eta_crit,tuned_min_cluster_lifetime_s,tuned_rescale_factor
prev_day,1 day,1236,1392,0.4393407999247731,0.16184296906910092,19.363750000000003,25.504166666666663,0.2579022988505747,0.15732758620689655,25987.613585849766,6717.567382442771,0.4393407999247731,0.16184296906910092,relative,0.01043677171767439,0.0036412349643150763,22.429833333333338,24.167958333333335,0.03629794520547946,0.017152957760134844,281.9823825131194,17.519791730371097,0.01043677171767439,0.0036412349643150763,2,"[{""min_rpus"": [32], ""time_s"": 3000.0}, {""min_rpus"": [32], ""time_s"": 6000.0}]",120.0,0.2,3600.0,0.1666667
prev_week,1 week,7333,1392,0.4393407999247731,1.0124398373075116,19.363750000000003,21.4325,0.2579022988505747,0.430316091954023,25987.613585849766,95260.01788912699,0.4393407999247731,1.0124398373075116,relative,0.38181228275686774,0.6665986923569647,18.540291666666672,18.860458333333334,0.206658906208547,0.2857036740757671,26684.639306644785,47175.633855323336,0.38181228275686774,0.6665986923569647,0,,,0.2,,0.1666667
prev_month,1 month,32516,1392,0.4393407999247731,0.433737992587915,19.363750000000003,20.84416666666667,0.2579022988505747,0.257183908045977,25987.613585849766,27743.439554808618,0.4393407999247731,0.433737992587915,relative,0.16906154664506567,0.1505234336693254,21.936500000000002,23.300250000000002,0.11626603378428196,0.13498933709788846,14523.604031711164,12595.66759864963,0.16906154664506567,0.1505234336693254,0,,120.0,0.1,,0.1666667
