,true_latency_s
cluster_8_4673733#fc2f1518-8e60-4365-ab49-4463b4641298,17.465663768272975
cluster_8_4673740#fc2f1518-8e60-4365-ab49-4463b4641298,31.523774472136203
cluster_8_4673745#fc2f1518-8e60-4365-ab49-4463b4641298,304.29512238353243
cluster_8_4673750#fc2f1518-8e60-4365-ab49-4463b4641298,41.485568159883464
cluster_8_4673755#fc2f1518-8e60-4365-ab49-4463b4641298,1256.6955293559897
cluster_8_4673768#fc2f1518-8e60-4365-ab49-4463b4641298,177.46263003349443
cluster_8_4673773#fc2f1518-8e60-4365-ab49-4463b4641298,9.872660892538892
cluster_8_4673780#fc2f1518-8e60-4365-ab49-4463b4641298,133.59834272768705
cluster_8_4673787#fc2f1518-8e60-4365-ab49-4463b4641298,42.94659270152058
cluster_8_4673794#fc2f1518-8e60-4365-ab49-4463b4641298,106.31715536409791
cluster_8_4673801#fc2f1518-8e60-4365-ab49-4463b4641298,70.21360469783691
cluster_8_4673806#fc2f1518-8e60-4365-ab49-4463b4641298,52.664171950771085
cluster_8_4673813#fc2f1518-8e60-4365-ab49-4463b4641298,115.41283917795809
cluster_8_4673824#fc2f1518-8e60-4365-ab49-4463b4641298,123.96865878088498
cluster_8_4673831#fc2f1518-8e60-4365-ab49-4463b4641298,147.44727714435157
cluster_8_4673838#fc2f1518-8e60-4365-ab49-4463b4641298,135.69573986525842
cluster_8_4673843#fc2f1518-8e60-4365-ab49-4463b4641298,199.44507841882051
cluster_8_4673852#fc2f1518-8e60-4365-ab49-4463b4641298,166.81209830585163
cluster_8_4673858#fc2f1518-8e60-4365-ab49-4463b4641298,187.40536218990468
cluster_8_4673866#fc2f1518-8e60-4365-ab49-4463b4641298,188.44339398769355
cluster_8_4673873#fc2f1518-8e60-4365-ab49-4463b4641298,257.1005071354303
cluster_8_4673878#fc2f1518-8e60-4365-ab49-4463b4641298,284.14349913368494
cluster_8_4673887#fc2f1518-8e60-4365-ab49-4463b4641298,207.56290218617804
cluster_8_4673894#fc2f1518-8e60-4365-ab49-4463b4641298,440.2075930343057
cluster_8_4673901#fc2f1518-8e60-4365-ab49-4463b4641298,262.82386392452224
cluster_8_4673910#fc2f1518-8e60-4365-ab49-4463b4641298,284.5546024642243
