scenario,label,slo_metric,holdout_initial_violation_rate,holdout_final_violation_rate,holdout_initial_violation_amount_s,holdout_final_violation_amount_s,holdout_initial_violation_relative_mean,holdout_final_violation_relative_mean,holdout_initial_cost,holdout_final_cost,baseline_train_violation_rate,final_train_violation_rate,baseline_train_violation_amount_s,final_train_violation_amount_s,baseline_train_violation_relative_mean,final_train_violation_relative_mean,baseline_train_cost,final_train_cost,baseline_val_violation_rate,final_val_violation_rate,baseline_val_violation_amount_s,final_val_violation_amount_s,baseline_val_violation_relative_mean,final_val_violation_relative_mean,baseline_val_cost,final_val_cost,num_checkpoints,checkpoint_details
one_point_five_x,1.5x,binary,0.1221264367816092,0.16163793103448276,2.1060668592455536,2.4152503940909638,1.053802310636357,1.23797863991284,17.770416666666666,16.11791666666667,0.043072702331961595,0.048285322359396435,0.15241062945722483,0.1493431526761286,0.07487971425350107,0.07817226287514568,23.250034722222225,22.324548611111116,0.04804526748971193,0.04917695473251029,0.22285710111624885,0.296105669145434,0.10147492390426081,0.092273676584258,23.63026041666667,23.27807291666667,0,
two_point_five_x,2.5x,binary,0.07758620689655173,0.10560344827586207,1.1670109197814293,1.4559696358954468,0.4662713282279497,0.6179881058495289,18.17083333333333,16.08791666666667,0.031824417009602195,0.041700960219478736,0.20559121547839995,0.33196237125421163,0.03733279011877472,0.047412197104052554,20.12496527777778,19.268368055555552,0.02962962962962963,0.040123456790123455,0.5069929008650117,0.4695595694185473,0.04526716371483682,0.0596484065882758,20.709375,19.715520833333333,0,
four_x,4x,binary,0.0639367816091954,0.05818965517241379,0.6071044016379388,0.40044835079988245,0.17952596096685797,0.17177110291152647,16.563333333333333,14.17791666666667,0.016598079561042523,0.017146776406035666,0.25199233761526946,0.10619578298108469,0.01316284973007334,0.016249863264274737,19.46204861111111,16.065347222222226,0.014814814814814815,0.01779835390946502,0.24789611147401097,0.18820016997909803,0.013984218433122045,0.025368142920746968,19.8734375,16.2884375,1,"[{""rel_time_s"": 6390.825449450916, ""min_rpus"": [8, 16]}]"
