phase_key,phase_name,start_wall_utc,elapsed_s,was_cached
01_reservoir,Phase 1: Building reservoir,2026-04-27T17:28:52.743483Z,0.350,False
02_workloads,Phase 2: Preparing workloads,2026-04-27T17:28:53.093638Z,1.500,False
03_baseline,Phase 3: Baseline evaluation,2026-04-27T17:28:54.593282Z,17.320,False
04_checkpoints,Phase 4: Checkpoint optimization,2026-04-27T17:29:11.912893Z,232.124,False
05_autoscaling_param_sweep,Phase 5: Autoscaler param sweep,2026-04-27T17:33:04.037480Z,214.072,False
06_routing_param_sweep,Phase 6: Routing param sweep,2026-04-27T17:36:38.109135Z,51.522,False
07_final,Phase 7: Persist & compare final,2026-04-27T17:37:29.631628Z,0.036,False
08_target,Phase 8: Target evaluation,2026-04-27T17:37:29.668118Z,23.119,False
TOTAL,TOTAL,2026-04-27T17:28:52.743483Z,540.043,False
