,query_id,query_text_id,run_id,cluster_name,rpu,num_other_concurrent_queries,y,y_pred_mean,abs_error,q_error,factor_error,underprediction_error_s,target_is_lower_bound,model_source,individual_loss
2048,query_173,ext_tpcds1000#067#002,1781483786331,autoslo-8-1781483786331-0,8,268,1880.6539306640625,2263.99,383.3360595703125,1.2038313150405884,1.2038313,0.0,False,lstm,0.1855092
1575,query_125,ext_tpcds1000#006#003,1781504195418,autoslo-4-1781504195418-0,4,174,1879.94921875,1876.5073,3.44189453125,1.0018341541290283,0.9981692,3.44189453125,False,lstm,0.0018324852
3409,query_282,ext_tpcds1000#036#001,1778844782091,autoslo-8-1778844782091-0,8,120,1876.673828125,1041.4905,835.183349609375,1.80191171169281,0.55496615,835.183349609375,False,lstm,0.5888481
3043,query_184,ext_tpcds1000#037#002,1781483786331,autoslo-8-1781483786331-0,8,267,1873.5792236328125,1575.0607,298.5185546875,1.189528226852417,0.8406694,298.5185546875,False,lstm,0.1735568
6438,query_183,ext_tpcds1000#046#003,1781483786331,autoslo-8-1781483786331-0,8,267,1872.391357421875,1467.0438,405.3475341796875,1.2763023376464844,0.7835134,405.3475341796875,False,lstm,0.24396706
6921,query_181,ext_tpcds1000#096#003,1778844782091,autoslo-8-1778844782091-0,8,171,1870.934814453125,1540.4104,330.5244140625,1.2145689725875854,0.8233373,330.5244140625,False,lstm,0.19438934
196,query_99__censor_184,ext_tpcds1000#051#001,1778861305520,autoslo-4-1778861305520-0,4,254,1870.512939453125,3442.415,,,1.8403589,0.0,True,lstm,0.0
3982,query_67__censor_81,ext_tpcds1000#016#002,1778868881242,autoslo-4-1778868881242-0,4,110,1864.968017578125,1647.9135,,,0.88361484,217.0545654296875,True,lstm,0.123734
6601,query_120,ext_tpcds1000#011#002,1778833176612,autoslo-4-1778833176612-0,4,160,1861.9761962890625,2261.7996,399.8233642578125,1.2147306203842163,1.2147306,0.0,False,lstm,0.19452238
10084,query_121,ext_tpcds1000#086#003,1778833176612,autoslo-4-1778833176612-0,4,160,1860.616455078125,1955.4438,94.827392578125,1.0509655475616455,1.0509655,0.0,False,lstm,0.04970932
2598,query_170__censor_96,ext_tpcds1000#034#001,1778868881242,autoslo-4-1778868881242-0,4,171,1859.42626953125,2111.377,,,1.1354991,0.0,True,lstm,0.0
8386,query_113,ext_tpcds1000#070#002,1781488939845,autoslo-8-1781488939845-0,8,288,1858.4210205078125,2283.4175,424.9964599609375,1.228686809539795,1.2286868,0.0,False,lstm,0.20594597
5614,query_103,ext_tpcds1000#033#001,1778839357246,autoslo-4-1778839357246-0,4,109,1857.099365234375,1230.9259,626.1734619140625,1.508701205253601,0.66282177,626.1734619140625,False,lstm,0.41124916
5701,query_196,ext_tpcds1000#061#002,1778844782091,autoslo-8-1778844782091-0,8,160,1854.279296875,1383.3159,470.96337890625,1.3404598236083984,0.7460127,470.96337890625,False,lstm,0.29301262
3404,query_194,ext_tpcds1000#031#002,1778844782091,autoslo-8-1778844782091-0,8,161,1851.5738525390625,1385.8552,465.7186279296875,1.3360514640808105,0.7484742,465.7186279296875,False,lstm,0.28971863
1796,query_141,ext_tpcds1000#072#003,1778844782091,autoslo-8-1778844782091-0,8,195,1848.443115234375,2574.7483,726.30517578125,1.392928123474121,1.3929281,0.0,False,lstm,0.33140802
4975,query_101,ext_tpcds1000#053#001,1778839357246,autoslo-4-1778839357246-0,4,109,1847.8826904296875,1487.2615,360.6212158203125,1.2424732446670532,0.8048463,360.6212158203125,False,lstm,0.21710396
4650,query_91,ext_tpcds1000#067#002,1781494395969,autoslo-4-1781494395969-0,4,148,1847.4271240234375,1966.3397,118.91259765625,1.0643665790557861,1.0643666,0.0,False,lstm,0.062379837
2183,query_124,ext_tpcds1000#041#002,1778833176612,autoslo-4-1778833176612-0,4,160,1846.6416015625,1924.0795,77.4378662109375,1.0419344902038574,1.0419345,0.0,False,lstm,0.041079044
3780,query_99__censor_181,ext_tpcds1000#051#001,1778861305520,autoslo-4-1778861305520-0,4,251,1845.6978759765625,3526.8467,,,1.9108472,0.0,True,lstm,0.0
7821,query_68,ext_tpcds1000#095#001,1778868881242,autoslo-4-1778868881242-0,4,108,1845.033447265625,1579.0018,266.0316162109375,1.1684808731079102,0.855812,266.0316162109375,False,lstm,0.1557045
8327,query_125,ext_tpcds1000#084#003,1778833176612,autoslo-4-1778833176612-0,4,160,1843.6800537109375,2206.2068,362.5267333984375,1.1966321468353271,1.1966321,0.0,False,lstm,0.17951107
4554,query_99,ext_tpcds1000#001#001,1778827732917,autoslo-4-1778827732917-0,4,72,1841.6336669921875,1842.9012,1.267578125,1.0006883144378662,1.0006883,0.0,False,lstm,0.000688076
489,query_63__censor_107,ext_tpcds1000#014#001,1781513174670,autoslo-4-1781513174670-0,4,123,1840.7100830078125,2730.189,,,1.483226,0.0,True,lstm,0.0
7306,query_158,ext_tpcds1000#043#001,1778839357246,autoslo-4-1778839357246-0,4,84,1839.7210693359375,1919.7181,79.9970703125,1.0434832572937012,1.0434833,0.0,False,lstm,0.042564392
1540,query_165,ext_tpcds1000#061#001,1781488939845,autoslo-8-1781488939845-0,8,285,1836.54736328125,1317.2153,519.33203125,1.3942651748657227,0.7172237,519.33203125,False,lstm,0.33236742
1676,query_107,ext_tpcds1000#008#003,1778839357246,autoslo-4-1778839357246-0,4,109,1836.3345947265625,1477.9071,358.427490234375,1.2425236701965332,0.8048136,358.427490234375,False,lstm,0.21714449
9195,query_83,ext_tpcds1000#074#001,1778822197626,autoslo-4-1778822197626-0,4,112,1834.8089599609375,2066.378,231.5689697265625,1.126208782196045,1.1262088,0.0,False,lstm,0.11885691
8008,query_191,ext_tpcds1000#096#001,1781504195418,autoslo-4-1781504195418-0,4,228,1833.8424072265625,2772.4717,938.6292724609375,1.5118374824523926,1.5118375,0.0,False,lstm,0.4133258
6465,query_94,ext_tpcds1000#031#001,1781483786331,autoslo-8-1781483786331-0,8,282,1833.6510009765625,2168.4097,334.7586669921875,1.1825640201568604,1.182564,0.0,False,lstm,0.16768503
4997,query_289,ext_tpcds1000#064#001,1781483837349,autoslo-16-1781483837349-0,16,251,1833.56005859375,1349.5419,484.0181884765625,1.3586537837982178,0.7360227,484.0181884765625,False,lstm,0.30649424
7532,query_53,ext_tpcds1000#001#003,1778868881242,autoslo-4-1778868881242-0,4,102,1828.56494140625,1620.1578,208.4071044921875,1.1286338567733765,0.886027,208.4071044921875,False,lstm,0.12100792
4041,query_197,ext_tpcds1000#023#001,1778835128511,autoslo-8-1778835128511-0,8,84,1826.9725341796875,231.63432,1595.3382568359375,7.8873138427734375,0.12678587,1595.3382568359375,False,lstm,2.0652556
6631,query_65,ext_tpcds1000#003#003,1778861305520,autoslo-4-1778861305520-0,4,221,1818.7255859375,2080.9666,262.240966796875,1.1441893577575684,1.1441894,0.0,False,lstm,0.13469648
3690,query_110,ext_tpcds1000#047#001,1778827732917,autoslo-4-1778827732917-0,4,68,1818.1455078125,2333.2551,515.109619140625,1.283315896987915,1.2833159,0.0,False,lstm,0.24944735
9545,query_162__censor_123,ext_tpcds1000#045#002,1781522879274,autoslo-4-1781522879274-0,4,216,1815.0323486328125,2335.3457,,,1.2866689,0.0,True,lstm,0.0
966,query_105__censor_175,ext_tpcds1000#012#002,1778861305520,autoslo-4-1778861305520-0,4,251,1812.357421875,2688.3547,,,1.4833469,0.0,True,lstm,0.0
9288,query_153,ext_tpcds1000#029#001,1778844782091,autoslo-8-1778844782091-0,8,188,1812.1466064453125,1314.874,497.2725830078125,1.378190279006958,0.7255892,497.2725830078125,False,lstm,0.32077122
6021,query_63,ext_tpcds1000#027#003,1778861305520,autoslo-4-1778861305520-0,4,219,1812.1146240234375,2013.4424,201.3277587890625,1.1111010313034058,1.111101,0.0,False,lstm,0.10535145
8521,query_149,ext_tpcds1000#005#001,1778844782091,autoslo-8-1778844782091-0,8,190,1810.501220703125,1887.7346,77.2333984375,1.0426585674285889,1.0426586,0.0,False,lstm,0.041773796
4967,query_159,ext_tpcds1000#038#003,1778844782091,autoslo-8-1778844782091-0,8,182,1801.7159423828125,1812.1672,10.4512939453125,1.005800724029541,1.0058007,0.0,False,lstm,0.0057840347
1252,query_74,ext_tpcds1000#060#001,1778861305520,autoslo-4-1778861305520-0,4,223,1801.0133056640625,2114.3137,313.3004150390625,1.1739578247070312,1.1739578,0.0,False,lstm,0.16038084
2113,query_83,ext_tpcds1000#094#002,1781483786331,autoslo-8-1781483786331-0,8,284,1795.878173828125,1794.0303,1.847900390625,1.0010299682617188,0.99897105,1.847900390625,False,lstm,0.0010294914
1381,query_174__censor_96,ext_tpcds1000#038#001,1781513174670,autoslo-4-1781513174670-0,4,185,1795.680419921875,1674.3895,,,0.93245405,121.2908935546875,True,lstm,0.06993532
2148,query_295,ext_tpcds1000#093#003,1781483837349,autoslo-16-1781483837349-0,16,250,1795.385009765625,563.9794,1231.4056396484375,3.1834230422973633,0.31412727,1231.4056396484375,False,lstm,1.1579571
4425,query_65__censor_124,ext_tpcds1000#070#001,1781504195418,autoslo-4-1781504195418-0,4,146,1794.15771484375,2274.115,,,1.2675112,0.0,True,lstm,0.0
9027,query_69,ext_tpcds1000#003#001,1778861305520,autoslo-4-1778861305520-0,4,221,1793.0860595703125,2109.9316,316.8455810546875,1.1767040491104126,1.176704,0.0,False,lstm,0.16271734
5572,query_59__censor_168,ext_tpcds1000#055#003,1778861305520,autoslo-4-1778861305520-0,4,210,1790.6142578125,1954.6282,,,1.0915965,0.0,True,lstm,0.0
5770,query_131,ext_tpcds1000#080#003,1781494395969,autoslo-4-1781494395969-0,4,158,1790.3111572265625,1569.1251,221.18603515625,1.1409614086151123,0.8764539,221.18603515625,False,lstm,0.13187122
3202,query_284,ext_tpcds1000#064#002,1781483837349,autoslo-16-1781483837349-0,16,252,1789.556640625,1430.5016,359.0550537109375,1.2509994506835938,0.7993609,359.0550537109375,False,lstm,0.22394276
8610,query_88__censor_175,ext_tpcds1000#015#001,1778861305520,autoslo-4-1778861305520-0,4,238,1787.214111328125,2019.9893,,,1.1302447,0.0,True,lstm,0.0
3913,query_157,ext_tpcds1000#060#003,1781522879274,autoslo-4-1781522879274-0,4,210,1782.4498291015625,1771.2853,11.16455078125,1.006303071975708,0.9937364,11.16455078125,False,lstm,0.0062832832
7240,query_73,ext_tpcds1000#048#001,1778861305520,autoslo-4-1778861305520-0,4,221,1781.51513671875,1668.627,112.88818359375,1.0676534175872803,0.9366336,112.88818359375,False,lstm,0.065463066
