,query_id,query_text_id,run_id,cluster_name,rpu,num_other_concurrent_queries,y,y_pred_mean,abs_error,q_error,factor_error,underprediction_error_s,target_is_lower_bound,model_source,individual_loss
5689,query_67,ext_tpcds1000#029#003,1781486891893,autoslo-16-1781486891893-0,16,0,3.0693509578704834,3.3619168,0.29256582260131836,1.0953184366226196,1.0953184,0.0,False,lstm,0.09104514
7615,query_95,ext_tpcds1000#099#002,1778829317324,autoslo-16-1778829317324-0,16,0,3.066255807876587,2.8309474,0.23530840873718262,1.0831199884414673,0.9232587,0.23530840873718262,False,lstm,0.079845786
5078,query_96,ext_tpcds1000#071#002,1781483184926,autoslo-32-1781483184926-0,32,2,3.062734842300415,4.248887,1.1861522197723389,1.3872853517532349,1.3872854,0.0,False,lstm,0.32734883
927,query_185,ext_tpcds1000#002#003,1778829721533,autoslo-32-1778829721533-0,32,0,3.0606212615966797,3.8582892,0.7976679801940918,1.2606228590011597,1.2606229,0.0,False,lstm,0.231606
7864,query_9,ext_tpcds1000#055#002,1781477958362,autoslo-32-1781477958362-0,32,4,3.0519680976867676,3.3163893,0.2644212245941162,1.0866395235061646,1.0866395,0.0,False,lstm,0.08308995
4607,query_81,ext_tpcds1000#025#003,1781498169086,autoslo-16-1781498169086-0,16,0,3.045609951019287,2.1802824,0.8653275966644287,1.3968878984451294,0.71587706,0.8653275966644287,False,lstm,0.3342468
4375,query_39,ext_tpcds1000#073#002,1781489356247,autoslo-32-1781489356247-0,32,1,3.042437791824341,1.2986468,1.7437909841537476,2.342775344848633,0.42684415,1.7437909841537476,False,lstm,0.8513363
7834,query_34,ext_tpcds1000#027#002,1778824038818,autoslo-32-1778824038818-0,32,1,3.034029960632324,1.6759117,1.3581182956695557,1.8103758096694946,0.5523715,1.3581182956695557,False,lstm,0.59353447
7291,query_31,ext_tpcds1000#015#002,1781493005580,autoslo-16-1781493005580-0,16,0,3.0328269004821777,1.9453474,1.0874794721603394,1.5590155124664307,0.64143044,1.0874794721603394,False,lstm,0.4440546
7544,query_241,ext_tpcds1000#033#003,1781500482985,autoslo-32-1781500482985-0,32,2,3.0318310260772705,2.532121,0.4997100830078125,1.1973483562469482,0.8351788,0.4997100830078125,False,lstm,0.1801095
7102,query_89,ext_tpcds1000#056#002,1778845494039,autoslo-32-1778845494039-0,32,0,3.0315499305725098,1.7254074,1.3061425685882568,1.7570054531097412,0.5691502,1.3061425685882568,False,lstm,0.56361085
8248,query_72,ext_tpcds1000#001#003,1781489356247,autoslo-32-1781489356247-0,32,1,3.0306169986724854,4.295832,1.2652151584625244,1.4174777269363403,1.4174777,0.0,False,lstm,0.3488791
8316,query_139,ext_tpcds1000#085#002,1778845281053,autoslo-16-1778845281053-0,16,0,3.0234200954437256,2.4239194,0.5995006561279297,1.2473269701004028,0.8017144,0.5995006561279297,False,lstm,0.22100288
6770,query_238,ext_tpcds1000#046#002,1781477958362,autoslo-32-1781477958362-0,32,0,3.023355007171631,1.7588452,1.2645097970962524,1.7189432382583618,0.5817528,1.2645097970962524,False,lstm,0.54170966
7704,query_99,ext_tpcds1000#001#001,1778823665762,autoslo-16-1778823665762-0,16,1,3.021432638168335,3.582136,0.5607032775878906,1.185575246810913,1.1855752,0.0,False,lstm,0.17022812
3032,query_85,ext_tpcds1000#070#002,1778821888613,autoslo-16-1778821888613-0,16,0,3.018320083618164,2.9870875,0.031232595443725586,1.010455846786499,0.98965234,0.031232595443725586,False,lstm,0.010401607
1012,query_77,ext_tpcds1000#018#002,1781486891893,autoslo-16-1781486891893-0,16,1,3.007169008255005,2.845064,0.16210508346557617,1.05697762966156,0.9460938,0.16210508346557617,False,lstm,0.055413604
5941,query_139,ext_tpcds1000#085#002,1778841575338,autoslo-16-1778841575338-0,16,1,3.0046439170837402,3.3584182,0.3537743091583252,1.1177425384521484,1.1177425,0.0,False,lstm,0.11131108
8795,query_24,ext_tpcds1000#095#002,1778829317324,autoslo-16-1778829317324-0,16,0,3.0037901401519775,2.118643,0.8851470947265625,1.4177895784378052,0.7053233,0.8851470947265625,False,lstm,0.34909904
7836,query_35,ext_tpcds1000#027#001,1778823665762,autoslo-16-1778823665762-0,16,0,3.0011708736419678,8.809818,5.808647155761719,2.935460329055786,2.9354603,0.0,False,lstm,1.0768644
987,query_122,ext_tpcds1000#010#003,1781486891893,autoslo-16-1781486891893-0,16,0,2.992281913757324,1.7804217,1.211860179901123,1.6806590557098389,0.5950047,1.211860179901123,False,lstm,0.519186
1560,query_214,ext_tpcds1000#060#002,1781483184926,autoslo-32-1781483184926-0,32,0,2.990567207336426,2.3257618,0.6648054122924805,1.285844087600708,0.77769923,0.6648054122924805,False,lstm,0.25141537
3602,query_194,ext_tpcds1000#012#001,1778839631928,autoslo-8-1778839631928-0,8,2,2.988823175430298,4.455389,1.4665658473968506,1.4906833171844482,1.4906833,0.0,False,lstm,0.39923465
3770,query_6,ext_tpcds1000#098#001,1778836931383,autoslo-32-1778836931383-0,32,0,2.987441062927246,2.6548505,0.33259057998657227,1.1252765655517578,0.8886704,0.33259057998657227,False,lstm,0.11802888
509,query_81,ext_tpcds1000#025#003,1781493005580,autoslo-16-1781493005580-0,16,0,2.984429121017456,2.1802824,0.8041467666625977,1.3688268661499023,0.73055255,0.8041467666625977,False,lstm,0.31395406
1433,query_152,ext_tpcds1000#037#001,1778850918197,autoslo-8-1778850918197-0,8,1,2.981457471847534,4.0105104,1.029052972793579,1.3451509475708008,1.345151,0.0,False,lstm,0.2965063
4731,query_240,ext_tpcds1000#070#001,1778845281053,autoslo-16-1778845281053-0,16,0,2.9776909351348877,3.4068253,0.4291343688964844,1.1441165208816528,1.1441165,0.0,False,lstm,0.1346327
