,query_id,query_text_id,run_id,cluster_name,rpu,num_other_concurrent_queries,y,y_pred_mean,abs_error,q_error,target_is_lower_bound,model_source,individual_loss
3176,query_245,ext_tpcds1000#052#001,1778868881242,autoslo-4-1778868881242-0,4,168,3421.703125,3511.998046875,90.294921875,1.0263888835906982,False,lstm,0.0260467529296875
2380,query_122,ext_tpcds1000#016#003,1778833176612,autoslo-4-1778833176612-0,4,160,3421.357177734375,3634.71875,213.361572265625,1.062361717224121,False,lstm,0.060494422912597656
135,query_216,ext_tpcds1000#021#001,1778861305520,autoslo-4-1778861305520-0,4,249,3417.942626953125,4878.2333984375,1460.290771484375,1.427242636680603,False,lstm,0.3557443618774414
326,query_230,ext_tpcds1000#094#001,1778868881242,autoslo-4-1778868881242-0,4,170,3413.678466796875,3641.647705078125,227.96923828125,1.0667811632156372,False,lstm,0.06464576721191406
3501,query_226,ext_tpcds1000#013#002,1778861305520,autoslo-4-1778861305520-0,4,248,3413.49951171875,3914.268310546875,500.768798828125,1.1467024087905884,False,lstm,0.13689041137695312
3177,query_133,ext_tpcds1000#029#003,1778833176612,autoslo-4-1778833176612-0,4,156,3413.483154296875,3087.41796875,326.065185546875,1.105610966682434,False,lstm,0.10039806365966797
2539,query_114,ext_tpcds1000#099#002,1778822197626,autoslo-4-1778822197626-0,4,107,3411.693115234375,3429.272216796875,17.5791015625,1.0051525831222534,False,lstm,0.005139350891113281
3305,query_251,ext_tpcds1000#068#002,1778868881242,autoslo-4-1778868881242-0,4,166,3411.3125,3427.33349609375,16.02099609375,1.0046964883804321,False,lstm,0.004685401916503906
1513,query_122,ext_tpcds1000#045#001,1778868881242,autoslo-4-1778868881242-0,4,224,3404.961669921875,2106.222412109375,1298.7392578125,1.6166201829910278,False,lstm,0.48033761978149414
2697,query_239,ext_tpcds1000#073#001,1778861305520,autoslo-4-1778861305520-0,4,244,3404.89990234375,4821.7041015625,1416.80419921875,1.416107416152954,False,lstm,0.3479118347167969
2312,query_212,ext_tpcds1000#003#002,1778868881242,autoslo-4-1778868881242-0,4,174,3400.51904296875,3070.560546875,329.95849609375,1.1074587106704712,False,lstm,0.10206794738769531
1735,query_251,ext_tpcds1000#068#002,1778861305520,autoslo-4-1778861305520-0,4,236,3397.390869140625,2963.630126953125,433.7607421875,1.1463613510131836,False,lstm,0.13659286499023438
3562,query_109,ext_tpcds1000#051#002,1778822197626,autoslo-4-1778822197626-0,4,108,3394.541015625,3658.42578125,263.884765625,1.0777379274368286,False,lstm,0.07486438751220703
